Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.52.132-192.168.52.2-56720-53-17,192.168.52.132,56720,192.168.52.2,53,17,20224,0,2,0,150,0,0,0,0,120,30,75,63.63961031,7416.93038,98.89240506,20224,0,20224,20224,0,0,0,0,0,20224,20224,0,20224,20224,0,0,0,0,0,16,0,98.89240506,30,120,60,51.96152423,2700,0,0,0,0,0,0,0,0,0,90,0,75,0,0,0,0,0,0,0,0,2,150,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-52458-53-17,192.168.52.132,52458,192.168.52.2,53,17,287986,0,2,0,160,0,0,0,0,112,48,80,45.254834,555.582563,6.944782038,287986,0,287986,287986,0,0,0,0,0,287986,287986,0,287986,287986,0,0,0,0,0,16,0,6.944782038,48,112,69.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,0,104,0,80,0,0,0,0,0,0,0,0,2,160,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-49979-53-17,192.168.52.132,49979,192.168.52.2,53,17,45429,0,2,0,94,0,0,0,0,47,47,47,0,2069.16287,44.0247419,45429,0,45429,45429,0,0,0,0,0,45429,45429,0,45429,45429,0,0,0,0,0,16,0,44.0247419,47,47,47,0,0,0,0,0,0,0,0,0,0,0,70.5,0,47,0,0,0,0,0,0,0,0,2,94,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-52628-53-17,192.168.52.132,52628,192.168.52.2,53,17,12541,0,2,0,80,0,0,0,0,40,40,40,0,6379.076629,159.4769157,12541,0,12541,12541,0,0,0,0,0,12541,12541,0,12541,12541,0,0,0,0,0,16,0,159.4769157,40,40,40,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,2,80,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-64098-53-17,192.168.52.132,64098,192.168.52.2,53,17,11752,0,2,0,211,0,0,0,0,159,52,105.5,75.66042559,17954.39074,170.1837985,11752,0,11752,11752,0,0,0,0,0,11752,11752,0,11752,11752,0,0,0,0,0,16,0,170.1837985,52,159,87.66666667,61.7764788,3816.333333,0,0,0,0,0,0,0,0,0,131.5,0,105.5,0,0,0,0,0,0,0,0,2,211,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-49163-53-17,192.168.52.132,49163,192.168.52.2,53,17,13568,0,2,0,139,0,0,0,0,108,31,69.5,54.44722215,10244.6934,147.4056604,13568,0,13568,13568,0,0,0,0,0,13568,13568,0,13568,13568,0,0,0,0,0,16,0,147.4056604,31,108,56.66666667,44.45597073,1976.333333,0,0,0,0,0,0,0,0,0,85,0,69.5,0,0,0,0,0,0,0,0,2,139,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-59112-53-17,192.168.52.132,59112,192.168.52.2,53,17,14826,0,2,0,72,0,0,0,0,36,36,36,0,4856.333468,134.8981519,14826,0,14826,14826,0,0,0,0,0,14826,14826,0,14826,14826,0,0,0,0,0,16,0,134.8981519,36,36,36,0,0,0,0,0,0,0,0,0,0,0,54,0,36,0,0,0,0,0,0,0,0,2,72,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-104.18.27.193-52823-443-17,192.168.52.132,52823,104.18.27.193,443,17,4004544,4,1,5000,1250,1250,1250,1250,0,1250,1250,1250,0,1560.727014,1.248581611,1001136,705752.2412,1895808,300888,3703656,1234552,648252.3926,1895808,600137,0,0,0,0,0,0,0,0,0,32,8,0.998865289,0.249716322,1250,1250,1250,0,0,0,0,0,0,0,0,0,0,0,1500,1250,1250,0,0,0,0,0,0,4,5000,1,1250,-1,-1,4,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-50169-53-17,192.168.52.132,50169,192.168.52.2,53,17,3137,0,2,0,80,0,0,0,0,40,40,40,0,25502.07204,637.5518011,3137,0,3137,3137,0,0,0,0,0,3137,3137,0,3137,3137,0,0,0,0,0,16,0,637.5518011,40,40,40,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,2,80,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-59663-53-17,192.168.52.132,59663,192.168.52.2,53,17,21180,0,2,0,102,0,0,0,0,72,30,51,29.69848481,4815.864023,94.42870633,21180,0,21180,21180,0,0,0,0,0,21180,21180,0,21180,21180,0,0,0,0,0,16,0,94.42870633,30,72,44,24.24871131,588,0,0,0,0,0,0,0,0,0,66,0,51,0,0,0,0,0,0,0,0,2,102,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-54917-53-17,192.168.52.132,54917,192.168.52.2,53,17,4694,0,2,0,82,0,0,0,0,41,41,41,0,17469.1095,426.0758415,4694,0,4694,4694,0,0,0,0,0,4694,4694,0,4694,4694,0,0,0,0,0,16,0,426.0758415,41,41,41,0,0,0,0,0,0,0,0,0,0,0,61.5,0,41,0,0,0,0,0,0,0,0,2,82,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-58625-53-17,192.168.52.132,58625,192.168.52.2,53,17,13371,0,2,0,148,0,0,0,0,106,42,74,45.254834,11068.73084,149.5774437,13371,0,13371,13371,0,0,0,0,0,13371,13371,0,13371,13371,0,0,0,0,0,16,0,149.5774437,42,106,63.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,0,95,0,74,0,0,0,0,0,0,0,0,2,148,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-58068-53-17,192.168.52.132,58068,192.168.52.2,53,17,229800,0,2,0,114,0,0,0,0,81,33,57,33.9411255,496.0835509,8.703220191,229800,0,229800,229800,0,0,0,0,0,229800,229800,0,229800,229800,0,0,0,0,0,16,0,8.703220191,33,81,49,27.71281292,768,0,0,0,0,0,0,0,0,0,73.5,0,57,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,0
142.251.43.2-192.168.52.132-443-57449-6,192.168.52.132,57449,142.251.43.2,443,6,8391529,44,165,2902,199020,931,0,65.95454545,185.3384026,1460,0,1206.181818,485.886558,24062.59932,24.90606897,40343.88942,412473.5971,5841454,0,8384334,194984.5116,898776.3303,5841454,33,2550075,15549.2378,92507.07966,1023067,0,0,0,0,0,880,3316,5.24338294,19.66268603,0,1460,961.5333333,642.5357148,412852.1448,0,1,0,0,0,0,0,0,3,966.1339713,65.95454545,1206.181818,0,0,0,0,0,0,44,2902,165,199020,-1,64240,12,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-53614-53-17,192.168.52.132,53614,192.168.52.2,53,17,4122,0,2,0,141,0,0,0,0,98,43,70.5,38.89087297,34206.69578,485.2013586,4122,0,4122,4122,0,0,0,0,0,4122,4122,0,4122,4122,0,0,0,0,0,16,0,485.2013586,43,98,61.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,0,92,0,70.5,0,0,0,0,0,0,0,0,2,141,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-50389-53-17,192.168.52.132,50389,192.168.52.2,53,17,2477,0,2,0,60,0,0,0,0,30,30,30,0,24222.85022,807.4283407,2477,0,2477,2477,0,0,0,0,0,2477,2477,0,2477,2477,0,0,0,0,0,16,0,807.4283407,30,30,30,0,0,0,0,0,0,0,0,0,0,0,45,0,30,0,0,0,0,0,0,0,0,2,60,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-50008-53-17,192.168.52.132,50008,192.168.52.2,53,17,24807,0,2,0,112,0,0,0,0,80,32,56,33.9411255,4514.854678,80.62240497,24807,0,24807,24807,0,0,0,0,0,24807,24807,0,24807,24807,0,0,0,0,0,16,0,80.62240497,32,80,48,27.71281292,768,0,0,0,0,0,0,0,0,0,72,0,56,0,0,0,0,0,0,0,0,2,112,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-51265-53-17,192.168.52.132,51265,192.168.52.2,53,17,1352,0,2,0,228,0,0,0,0,199,29,114,120.2081528,168639.0533,1479.289941,1352,0,1352,1352,0,0,0,0,0,1352,1352,0,1352,1352,0,0,0,0,0,16,0,1479.289941,29,199,85.66666667,98.14954576,9633.333333,0,0,0,0,0,0,0,0,0,128.5,0,114,0,0,0,0,0,0,0,0,2,228,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-49209-53-17,192.168.52.132,49209,192.168.52.2,53,17,54525,0,2,0,164,0,0,0,0,82,82,82,0,3007.79459,36.68042182,54525,0,54525,54525,0,0,0,0,0,54525,54525,0,54525,54525,0,0,0,0,0,16,0,36.68042182,82,82,82,0,0,0,0,0,0,0,0,0,0,0,123,0,82,0,0,0,0,0,0,0,0,2,164,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-38.133.127.127-64914-443-6,192.168.52.132,64914,38.133.127.127,443,6,345,0,2,0,0,0,0,0,0,0,0,0,0,0,5797.101449,345,0,345,345,0,0,0,0,0,345,345,0,345,345,0,0,0,0,0,40,0,5797.101449,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-51155-53-17,192.168.52.132,51155,192.168.52.2,53,17,6554,0,2,0,184,0,0,0,0,154,30,92,87.68124087,28074.45835,305.1571559,6554,0,6554,6554,0,0,0,0,0,6554,6554,0,6554,6554,0,0,0,0,0,16,0,305.1571559,30,154,71.33333333,71.59143338,5125.333333,0,0,0,0,0,0,0,0,0,107,0,92,0,0,0,0,0,0,0,0,2,184,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-54651-53-17,192.168.52.132,54651,192.168.52.2,53,17,12505,0,2,0,136,0,0,0,0,100,36,68,45.254834,10875.64974,159.9360256,12505,0,12505,12505,0,0,0,0,0,12505,12505,0,12505,12505,0,0,0,0,0,16,0,159.9360256,36,100,57.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,0,86,0,68,0,0,0,0,0,0,0,0,2,136,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-72.34.250.75-55568-443-6,192.168.52.132,55568,72.34.250.75,443,6,208,0,2,0,0,0,0,0,0,0,0,0,0,0,9615.384615,208,0,208,208,0,0,0,0,0,208,208,0,208,208,0,0,0,0,0,40,0,9615.384615,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-224.0.0.22-0-0-0,192.168.52.132,0,224.0.0.22,0,0,383674,1,1,0,0,0,0,0,0,0,0,0,0,0,5.212758748,383674,0,383674,383674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.606379374,2.606379374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
